"indicator","year","area","quintile","ethnicity","migration","disability","age","education_level","sex","idgeo","validation","year_hh_surveyed","year_hh_indicator","weighted_value","count_countries"
"aguadisp_ch",2008,"Total","quintile_3","Total","Total","Total","Total","Total","Total","country",0.687597736963032,8511769.68778992,5852673.57487488,68.7597736963032,5
"aguadisp_ch",2008,"Total","quintile_4","Total","Total","Total","Total","Total","Total","country",0.747685016890691,9353729.01797485,6993643.03879547,74.7685016890691,5
"aguadisp_ch",2008,"Total","quintile_5","Total","Total","Total","Total","Total","Total","country",0.82230112540326,11336009.5969543,9321613.44915771,82.230112540326,5
"aguadisp_ch",2008,"Total","Total","Indi","Total","Total","Total","Total","Total","country",0.784560706368285,1582404,1241492,78.4560706368285,1
"aguadisp_ch",2008,"Total","Total","Other","Total","Total","Total","Total","Total","country",0.897813303214812,998721,896665,89.7813303214812,1
"aguadisp_ch",2008,"Total","Total","Total","Migrant","Total","Total","Total","Total","country",0.539210300806398,91022.0000000001,49080,53.9210300806398,2
"aguadisp_ch",2008,"Total","Total","Total","Non-migrant","Total","Total","Total","Total","country",0.734115320589338,3957524,2905279,73.4115320589338,2
"aguadisp_ch",2008,"Total","Total","Total","Total","Total","Total","Total","Total","country",0.682313999643395,45283674.0332642,30897684.7481842,68.2313999643395,5
"aguadisp_ch",2008,"urban","quintile_1","Total","Total","Total","Total","Total","Total","country",0.619989796639521,2693402.64663696,1669882.1591568,61.9989796639521,5
"aguadisp_ch",2008,"urban","quintile_2","Total","Total","Total","Total","Total","Total","country",0.703040871850742,4453145.64253235,3130743.39500427,70.3040871850742,5
"aguadisp_ch",2008,"urban","quintile_3","Total","Total","Total","Total","Total","Total","country",0.761346531441706,5960701.82536316,4538159.65969849,76.1346531441706,5
"aguadisp_ch",2008,"urban","quintile_4","Total","Total","Total","Total","Total","Total","country",0.799476722022776,7320125.52297211,5852269.957901,79.9476722022776,5
"aguadisp_ch",2008,"urban","quintile_5","Total","Total","Total","Total","Total","Total","country",0.85615139251795,9891860.79047394,8468930.39035797,85.615139251795,5
"aguadisp_ch",2008,"urban","Total","Indi","Total","Total","Total","Total","Total","country",0.839301306112896,888744,745924,83.9301306112896,1
"aguadisp_ch",2008,"urban","Total","Other","Total","Total","Total","Total","Total","country",0.911931735090815,820568,748302,91.1931735090815,1
"aguadisp_ch",2008,"urban","Total","Total","Total","Total","Total","Total","Total","country",0.77989181046753,30466280.387558,23760402.569664,77.989181046753,5
"aguadisp_ch",2012,"rural","quintile_1","Total","Total","Total","Total","Total","Total","country",0.430930559946585,4700546.44952393,2025609.11354828,43.0930559946585,3
"aguadisp_ch",2012,"rural","quintile_2","Total","Total","Total","Total","Total","Total","country",0.468671112349463,3500785.92769241,1640717.23482895,46.8671112349463,3
"aguadisp_ch",2012,"rural","quintile_3","Total","Total","Total","Total","Total","Total","country",0.533616157334729,2799436.04018402,1493824.30246735,53.3616157334729,3
"aguadisp_ch",2012,"rural","quintile_4","Total","Total","Total","Total","Total","Total","country",0.569621086054724,2006638.7124176,1143023.72268677,56.9621086054724,3
"aguadisp_ch",2012,"rural","quintile_5","Total","Total","Total","Total","Total","Total","country",0.623828917123971,1626366.54183197,1014574.4786377,62.3828917123971,3
"aguadisp_ch",2012,"rural","Total","Indi","Total","Total","Total","Total","Total","country",0.510355343549943,4650401,2373357,51.0355343549943,1
"aguadisp_ch",2012,"rural","Total","Other","Total","Total","Total","Total","Total","country",0.557487184567727,6470129,3607014,55.7487184567727,1
"aguadisp_ch",2012,"rural","Total","Total","Total","person_with_disability","Total","Total","Total","country",0.548311308723054,1773622,972497,54.8311308723054,1
"aguadisp_ch",2012,"rural","Total","Total","Total","person_with_no_disability","Total","Total","Total","country",0.535671678070014,9314224,4989366,53.5671678070014,1
"aguadisp_ch",2012,"rural","Total","Total","Total","Total","Total","Total","Total","country",0.500295521355364,14678200.0944939,7343437.76883316,50.0295521355364,3
"aguadisp_ch",2012,"Total","quintile_1","Total","Total","Total","Total","Total","Total","country",0.488277405871226,7241095.28254067,3535663.22022533,48.8277405871226,3
"aguadisp_ch",2012,"Total","quintile_2","Total","Total","Total","Total","Total","Total","country",0.577744594075665,7600330.27166975,4391049.72764683,57.7744594075665,3
"aguadisp_ch",2012,"Total","quintile_3","Total","Total","Total","Total","Total","Total","country",0.652568163147383,8542379.26201332,5574484.74392033,65.2568163147383,3
"aguadisp_ch",2012,"Total","quintile_4","Total","Total","Total","Total","Total","Total","country",0.741628347463928,9730594.55400896,7216484.75893116,74.1628347463928,3
